"","Zone","Auto_Footprint","PT_ODT_Footprint"
"1","Belconnen",528.724086887331,455.076216919467
"2","Gungahlin",119.562529988278,292.527885057289
"3","Inner North",369.889673662514,68.1763419249985
"4","Inner South",172.763940380576,30.5757096599467
"5","Woden",582.306232533374,74.7750749777622
"6","West Creek",55.2871625961378,94.8484515933523
"7","Tuggeranong",415.953741140839,332.623371917688
"8","Queanbeyan",150.096801484131,268.712277552645
"9","Belconnen",119.539243782393,57.4630670145807
"10","Gungahlin",28.2808715325989,37.804394249566
"11","Inner North",62.1527532788042,6.43557942175249
"12","Inner South",29.0993819871538,2.93862866630326
"13","Woden",102.374075375632,7.191821403597
"14","West Creek",13.260581687978,12.6168982673398
"15","Tuggeranong",94.7443615130599,41.511000331502
"16","Queanbeyan",35.6948904089806,35.5072562213205
"17","TOTAL",2879.73032823978,1818.78397517911
