"","Zone","2016_trips","2020_trips","2040_trips"
"1","Belconnen",4091.41107410434,4209.04902979513,6414.21374140671
"2","Gungahlin",1748.646405031,2079.76540295759,2188.29621263975
"3","Inner North",4126.23747246669,4456.64014919485,6954.01975649553
"4","Inner South",3079.64875413812,3218.68455219628,4490.40175958153
"5","Woden",1481.03216095208,1485.54671639828,2423.37036775654
"6","Western Creek",1326.96875476636,1237.95559699857,1577.73119314727
"7","Tuggeranong",1785.31084376501,1733.137835798,1891.01990050202
"8","Queanbeyan",1320.35507042315,1386.5102686384,1789.18914513748
