"","Zone","Auto_Footprint","PT_ODT_Footprint"
"1","Belconnen",2013.13331289187,325.035940266245
"2","Gungahlin",845.853630806136,136.569609402444
"3","Inner North",523.852749663932,84.580077214797
"4","Inner South",239.418240628607,38.6559262922442
"5","Woden",979.197931541814,158.099077863976
"6","West Creek",328.465858910161,53.0333528398368
"7","Tuggeranong",2087.30445530823,337.011444750493
"8","Queanbeyan",813.543977112968,131.352965973723
"9","Belconnen",327.962636360561,52.952103667949
"10","Gungahlin",125.266827141246,20.2252978892566
"11","Inner North",76.5671950451635,12.3623657090565
"12","Inner South",35.4333060569812,5.72098125703768
"13","Woden",140.554941388718,22.6936821524858
"14","West Creek",55.3496528596391,8.93662945490656
"15","Tuggeranong",310.906300117162,50.1982262903963
"16","Queanbeyan",136.918336777476,22.1065242173298
"17","TOTAL",9039.72935261066,1459.53420524218
