"","Zone","Population","Distance_City","Auto_TT_mean","PT_TT_min","PT_TT_max","PT_TT_mean","ODT_TT_min","ODT_TT_max","ODT_TT_mean","FrictionFactor","Alpha","Trips","PT_Reliability","ODT_Reliability","Auto_Cost","U_Auto","U_PT","U_ODT","U_Active","Exp_U_Auto","Exp_U_PT","Exp_U_ODT","Exp_U_Active","Exp_Sum","Prob_Auto","Prob_PT","Prob_ODT","Prob_Active","Trips_Auto","Trips_PT","Trips_ODT","Trips_Active"
"1","Belconnen",304904,26.6,39.1,71.3,87.4,75.9,40,62,46,1.68836743187869,3.605e-06,918.968057740408,0.424242424242424,0.956521739130435,18.62,-11.8232,-13.1780424242424,-9.33276521739131,-17.622,0.00541570171623053,0.00280753180472828,0.0196896319185855,0.000298168194549201,0.0282110336340936,0.404590215443995,0.200262395249685,1.37287217172747,0.022275217578854,154.967624418784,90.1827589436327,665.285739052223,8.53193532576761
"2","Gungahlin",175014,29.82,71.3,117.3,163.3,142.6,76,98,86,1.61109186643132,3.605e-06,503.342293948583,0.645161290322581,0.511627906976744,20.874,-20.12114,-23.1852516129032,-15.3283162790698,-19.7794,8.54633593540556e-05,1.88489351334736e-05,0.000982472100393527,0.000101388303917627,0.00118817269879868,0.153221950685312,0.0321216278435945,1.63288362643531,0.181772795035782,31.5391562692535,7.78862955844329,426.598455378503,37.4160527423835
"3","Inner North",183194,11.4,27.6,52.9,78.2,66.7,32,48,40,2.3896673404488,3.605e-06,781.482076245033,0.758620689655172,0.8,7.98,-7.7778,-11.8013862068965,-8.4312,-7.438,0.0409356965851009,0.0055880693102484,0.0309036656818099,0.0485164278691215,0.125943859446281,0.654387906591106,0.0878765238546581,0.482163970264336,0.7755715992899,240.383630260276,37.3905125505935,218.808541672379,284.899391761785
"4","Inner South",77060,12,27.6,43.7,75.9,62.1,28,52,42,2.33993679298572,3.605e-06,321.887016140072,1.03703703703704,1.14285714285714,8.4,-7.824,-11.1141703703704,-8.73462857142857,-7.84,0.0400009202277109,0.00787932123909976,0.0265534722752687,0.0396821894887406,0.11411590323082,0.705861126071027,0.136744788742636,0.457157320681052,0.700236764505285,106.700748054978,23.9461734152528,85.3895472623144,105.850547407526
"5","Queanbeyan",157512,29.4,57.5,78.2,112.7,101.2,54,82,68,1.62048879232457,3.605e-06,455.648563816093,0.681818181818182,0.823529411764706,20.58,-16.6388,-16.9756181818182,-12.6314352941176,-19.498,0.000487484131200362,0.00042042795637135,0.00378390732756351,0.000116705975103299,0.00480852539023852,0.216246888746544,0.177182107450212,1.55480048985425,0.051770513948991,40.2028700424041,38.8112839507833,367.009655189976,9.62475463292887
"6","Tuggeranong",180356,38.8,66.7,110.4,165.6,147.2,70,114,98,1.4462635127089,3.605e-06,465.6379328312,0.75,0.897959183673469,27.16,-19.6626,-23.8763,-17.1321795918367,-25.796,0.000107485691730125,1.33422037721835e-05,0.000398672505010625,5.00610285190284e-06,0.000524506503364836,0.432627470527009,0.0512370853363931,1.49598599373854,0.0201494503980548,83.7015867497876,11.6585120503018,366.379466300558,3.89836773055316
"7","West Creek",52536,31.8,52.9,73.6,108.1,96.6,48,78,62,1.5691820009206,3.605e-06,147.163683383395,0.714285714285714,0.967741935483871,22.26,-15.6736,-16.2859428571429,-11.7328774193548,-21.106,0.000789861598644683,0.00059354367402888,0.00593007047645195,5.22300363560627e-05,0.00736570578548158,0.229229403892004,0.163510440425541,1.5921022341938,0.0151579214886529,13.7144909892679,11.5302163672537,121.012097702616,0.906878324257649
"8","Woden",112726,22,34.5,82.8,128.8,112.7,44,72,60,1.82505155873383,3.605e-06,367.256560655593,0.816326530612245,0.933333333333333,15.4,-10.319,-18.7019632653061,-11.4325333333333,-14.54,0.0114891425066583,0.000177345639599578,0.00689094437817566,0.0013922239875198,0.0199496565119533,1.16434147757796,0.0175997198046724,0.676966973195909,0.141091829421461,197.469767693865,3.4659997931071,142.391927525773,23.9288656428483
"9","TOTAL",1243302,201.82,377.2,630.2,920,805,392,606,502,14.4900492964324,2.884e-05,3961.38618476038,5.82749186797335,7.0335706532197,141.274,-109.84014,-135.11867491868,-94.7559357065322,-133.6194,0.0993117558166299,0.0174984307629819,0.0951328366632594,0.0901643399581599,0.302107363201031,3.96050643953495,0.866534688707392,9.26493278009067,1.90802609166698,868.679874478616,224.774086629368,2392.87543008434,475.05679356805
