"","Zone","Trips","Trips_Auto","Trips_PT","Trips_Active"
"1","Belconnen",918.968057740408,383.226248347275,499.171907789548,36.5699016035839
"2","Gungahlin",503.342293948583,139.378045132506,77.3721373536006,286.592111462477
"3","Inner North",781.482076245033,229.990021434211,79.0401642110771,472.451890599745
"4","Inner South",321.887016140072,100.113018578128,49.635437615659,172.138559946284
"5","Queanbeyan",455.648563816093,127.230159469045,275.624394967972,52.7940093790761
"6","Tuggeranong",465.6379328312,334.253833229117,104.40127105175,26.9828285503335
"7","West Creek",147.163683383395,49.0228116464023,92.5222536954668,5.6186180415259
"8","Woden",367.256560655593,294.063297305203,11.4308463004466,61.7624170499438
"9","TOTAL",3961.38618476038,1657.27743514189,1189.19841298552,1114.91033663297
