"","Zone","Trips","Trips_Auto","Trips_PT","Trips_Active"
"1","Belconnen",918.968057740408,508.557798217067,382.4109773502,27.9992821731405
"2","Gungahlin",503.342293948583,200.802752078685,64.3199047163123,238.219637153586
"3","Inner North",781.482076245033,327.874374879978,65.0154753618114,388.592226003244
"4","Inner South",321.887016140072,141.295351218448,40.4221670948125,140.169497826812
"5","Queanbeyan",455.648563816093,182.999594984616,228.838012106384,43.8109567250927
"6","Tuggeranong",465.6379328312,379.542717549814,68.4181658977752,17.6770493836116
"7","West Creek",147.163683383395,68.2684152847204,74.3809812686654,4.51428683000924
"8","Woden",367.256560655593,321.139164432009,7.2025992493795,38.9147969742046
"9","TOTAL",3961.38618476038,2130.48016864534,931.00828304534,899.8977330697
