"","Zone","Population","Distance_City","Auto_TT_mean","PT_TT_min","PT_TT_max","PT_TT_mean","ODT_TT_min","ODT_TT_max","ODT_TT_mean","FrictionFactor","Alpha","Trips","PT_Reliability","ODT_Reliability","Auto_Cost","U_Auto","U_PT","U_ODT","U_Active","Exp_U_Auto","Exp_U_PT","Exp_U_ODT","Exp_U_Active","Exp_Sum","Prob_Auto","Prob_PT","Prob_ODT","Prob_Active","Trips_Auto","Trips_PT","Trips_ODT","Trips_Active"
"1","Belconnen",152452,13.3,19.55,35.65,43.7,37.95,20,31,23,0.844183715939344,1.802e-06,121.211616567165,0.212121212121212,0.478260869565217,9.31,-5.9116,-6.79182121212121,-4.97058260869565,-8.811,0.00270785085811526,0.00112292183193112,0.00693910407446347,0.0001490840972746,0.0109189608617844,0.24799528933129,0.102841455899092,0.635509565635482,0.0136536891341358,30.0599099208875,12.4655791196497,77.0311417945737,1.65498573205414
"2","Gungahlin",87507,14.91,35.65,58.65,81.65,71.3,38,49,43,0.80554593321566,1.802e-06,66.3907005496457,0.32258064516129,0.255813953488372,10.437,-10.06057,-11.7954258064516,-7.96835813953488,-9.8897,4.27316796770278e-05,7.53896384517697e-06,0.000346247008734186,5.06941519588137e-05,0.000447211804215205,0.0955513232751448,0.0168577031601543,0.774234949682963,0.113356023881738,6.34371929068253,1.11919472246062,51.4020006994716,7.52578583703093
"3","Inner North",91597,5.7,13.8,26.45,39.1,33.35,16,24,20,1.1948336702244,1.802e-06,103.077256039603,0.379310344827586,0.4,3.99,-3.8889,-6.10349310344827,-4.5198,-3.719,0.0204678482925505,0.00223504681808208,0.0108912016910832,0.0242582139345607,0.0578523107362764,0.353794827415874,0.0386336654428669,0.188258715208999,0.41931279193226,36.4682000110334,3.98225222460276,19.4051917892847,43.2216120146825
"4","Inner South",38530,6,13.8,21.85,37.95,31.05,14,26,21,1.16996839649286,1.802e-06,42.4568027688082,0.518518518518518,0.571428571428571,4.2,-3.912,-5.75988518518519,-4.67151428571429,-3.92,0.0200004601138555,0.00315147341350954,0.00935808797332289,0.0198410947443703,0.0523511162450582,0.382044578003501,0.0601987816030004,0.178756226123569,0.379000414269929,16.2203912971872,2.55584779744115,7.58941783622487,16.091145837955
"5","Woden",56363,11,17.25,41.4,64.4,56.35,22,36,30,0.912525779366916,1.802e-06,48.4410323481956,0.408163265306122,0.466666666666667,7.7,-5.1595,-9.55378163265306,-6.02046666666667,-7.27,0.00574457125332913,7.09325145199655e-05,0.00242853601373646,0.000696111993759902,0.00894015177534545,0.642558582637391,0.00793415104154925,0.271643711959534,0.0778635543615258,31.1262010871486,0.384338467259157,13.1587018382157,3.77179095557216
"6","West Creek",26268,15.9,26.45,36.8,54.05,48.3,24,39,31,0.784591000460301,1.802e-06,19.4108465605871,0.357142857142857,0.483870967741935,11.13,-7.8368,-8.34577142857143,-6.17063870967742,-10.553,0.000394930799322341,0.0002373982544558,0.00208990073431293,2.61150181780314e-05,0.0027483448062691,0.143697689759118,0.0863786282981244,0.760421592496607,0.0095020894461502,2.78929380702509,1.67668230000888,14.7604268533089,0.184443600244195
"7","Tuggeranong",90178,19.4,33.35,55.2,82.8,73.6,35,57,49,0.723131756354449,1.802e-06,61.4175064063068,0.375,0.448979591836735,13.58,-9.8313,-12.14095,-8.87028979591837,-12.898,5.37428458650626e-05,5.33644957347456e-06,0.000140501864907108,2.50305142595142e-06,0.000202084211771596,0.265942823508672,0.0264070583579584,0.695263938114614,0.0123861800187561,16.3335450665552,1.62185567587163,42.7013773732284,0.760728290651622
"8","Queanbeyan",78756,14.7,28.75,39.1,56.35,50.6,27,41,34,0.810244396162285,1.802e-06,60.0999115708733,0.340909090909091,0.411764705882353,10.29,-8.3194,-8.69060909090909,-6.61991764705882,-9.749,0.000243742065600181,0.000168157571774779,0.00133354076209538,5.83529875516497e-05,0.00180379338702199,0.135127485971435,0.0932244086183299,0.739297954904368,0.0323501505058674,8.12114995767765,5.60277871420858,44.43174171428,1.94424118470707
