,Zone,Trips,Trips_Auto,Trips_PT,Trips_Active
1,Belconnen,970.2524555,457.406701,469.1970793,43.64867522
2,Gungahlin,531.4320694,152.0504495,66.73224009,312.6493798
3,Inner North,825.0938615,248.0709842,67.4285707,509.5943066
4,Inner South,339.8504063,109.2269099,42.81412613,187.8093703
5,Queanbeyan,481.0767188,154.212991,262.8732233,63.99050449
6,Tuggeranong,491.6235596,370.3317242,91.39659876,29.89523658
7,West Creek,155.3763746,59.77912052,88.74583052,6.851423527
8,Woden,387.7518666,312.5039039,9.612446073,65.63551664
9,TOTAL,4182.457312,1863.582784,1098.800115,1220.074413
