,Zone,Trips,Trips_Auto,Trips_PT,Trips_Active
1,Belconnen,970.2524555,222.764889,683.6260519,63.86151467
2,Gungahlin,531.4320694,62.55713804,82.44508261,386.4298488
3,Inner North,825.0938615,103.297161,84.3249946,637.4717059
4,Inner South,339.8504063,46.28559708,54.47701253,239.0877967
5,Queanbeyan,481.0767188,65.42547245,334.0934709,81.55777539
6,Tuggeranong,491.6235596,248.0721605,183.3906775,60.16072156
7,West Creek,155.3763746,26.8494186,119.2823137,9.244642247
8,Woden,387.7518666,225.0004023,20.78339192,141.9680724
9,TOTAL,4182.457312,1000.252239,1562.422996,1619.782078
