"","Zone","Trips","Trips_Auto","Trips_PT","Trips_ODT","Trips_Active"
"1","Belconnen",970.252455479513,163.015397357036,95.1799351935064,703.082107453507,8.97501547546437
"2","Gungahlin",531.432069413951,33.1629468047699,8.21755115148928,450.709156709908,39.3424147477835
"3","Inner North",825.093861536763,253.501394673073,39.5364137000615,231.609666382116,300.446386781512
"4","Inner South",339.850406296821,112.521361408991,25.3201406963785,90.3841225728176,111.624781618634
"5","Queanbeyan",481.076718776619,42.2705371403799,40.9470227087958,387.739395145675,10.1197637817684
"6","Tuggeranong",491.623559587855,88.0422891862736,12.3038835826554,387.176852618615,4.10053420031095
"7","West Creek",155.376374573057,14.4186584809145,12.1639498624717,127.840324439418,0.953441790252918
"8","Woden",387.75186663529,208.172790486168,3.66397066813374,150.689275764296,25.2258297166927
"9","TOTAL",4182.45731229987,915.105375537605,237.332867563492,2529.23090108635,500.788168112419
