Zone,Minimum,Maximum,Mean
Belconnen,20,31,23
Gungahlin,38,49,43
Inner North,16,24,20
Inner South,14,26,21
Woden,22,36,30
Western Creek,24,39,31
Tuggeranong,35,57,49
Queanbeyan,27,41,34
