Zone,Minimum,Maximum,Mean
Belconnen,22,40,31
Gungahlin,16,24,21
Inner North,7,12,10
Inner South,10,16,14
Woden,12,22,18
Western Creek,14,26,21
Tuggeranong,22,40,33
Queanbeyan,12,22,18
